[ 00:04:22.079 -->  00:04:23.166] CT SPEAKER_03
[ 00:04:27.461 -->  00:04:27.835] CU SPEAKER_03
[ 00:04:27.750 -->  00:04:29.753] CV SPEAKER_01
[ 00:04:29.261 -->  00:04:31.740] CW SPEAKER_03
[ 00:04:31.078 -->  00:04:41.349] CX SPEAKER_01
[ 00:04:41.095 -->  00:04:41.570] CY SPEAKER_03
[ 00:04:41.570 -->  00:04:42.741] CZ SPEAKER_01
[ 00:04:42.266 -->  00:04:50.721] DA SPEAKER_03
[ 00:04:50.551 -->  00:04:52.538] DB SPEAKER_01
[ 00:04:51.791 -->  00:04:54.456] DC SPEAKER_03
[ 00:04:52.945 -->  00:04:57.156] DD SPEAKER_01
[ 00:04:57.937 -->  00:05:03.047] DE SPEAKER_01
[ 00:05:03.047 -->  00:05:06.086] DF SPEAKER_04
[ 00:05:03.471 -->  00:05:04.932] DG SPEAKER_01
[ 00:05:05.950 -->  00:05:07.003] DH SPEAKER_01
[ 00:05:07.292 -->  00:05:09.363] DI SPEAKER_01
[ 00:05:08.056 -->  00:05:08.887] DJ SPEAKER_04
[ 00:05:09.261 -->  00:05:10.517] DK SPEAKER_04
[ 00:05:10.500 -->  00:05:15.747] DL SPEAKER_01
[ 00:05:15.356 -->  00:05:15.390] DM SPEAKER_02
[ 00:05:15.390 -->  00:05:16.001] DN SPEAKER_04
[ 00:05:16.001 -->  00:05:16.409] DO SPEAKER_02
[ 00:05:16.409 -->  00:05:16.426] DP SPEAKER_04
[ 00:05:16.426 -->  00:05:16.443] DQ SPEAKER_02
[ 00:05:16.833 -->  00:05:27.903] DR SPEAKER_01
[ 00:05:27.784 -->  00:05:41.502] DS SPEAKER_04
[ 00:05:31.977 -->  00:05:32.707] DT SPEAKER_01
[ 00:05:39.957 -->  00:05:39.991] DU SPEAKER_01
[ 00:05:40.008 -->  00:05:47.750] DV SPEAKER_01
[ 00:05:44.592 -->  00:05:45.254] DW SPEAKER_04
[ 00:05:47.784 -->  00:05:59.634] DX SPEAKER_01
[ 00:05:58.565 -->  00:06:05.628] DY SPEAKER_02
[ 00:06:03.794 -->  00:06:03.811] DZ SPEAKER_00
[ 00:06:03.811 -->  00:06:04.388] EA SPEAKER_01
[ 00:06:04.388 -->  00:06:04.439] EB SPEAKER_00
[ 00:06:05.458 -->  00:06:06.969] EC SPEAKER_00
[ 00:06:05.628 -->  00:06:05.645] ED SPEAKER_01
[ 00:06:06.137 -->  00:06:10.348] EE SPEAKER_02
[ 00:06:10.348 -->  00:06:13.624] EF SPEAKER_00
[ 00:06:14.847 -->  00:06:17.020] EG SPEAKER_02
[ 00:06:17.020 -->  00:06:17.037] EH SPEAKER_04
[ 00:06:17.037 -->  00:06:17.190] EI SPEAKER_02
[ 00:06:17.190 -->  00:06:39.057] EJ SPEAKER_04
[ 00:06:17.224 -->  00:06:18.293] EK SPEAKER_02
[ 00:06:20.042 -->  00:06:20.721] EL SPEAKER_00
[ 00:06:39.057 -->  00:06:39.142] EM SPEAKER_02
[ 00:06:39.142 -->  00:06:39.159] EN SPEAKER_04
[ 00:06:39.159 -->  00:06:41.926] EO SPEAKER_02
[ 00:06:41.926 -->  00:06:55.356] EP SPEAKER_04
[ 00:06:42.198 -->  00:06:43.047] EQ SPEAKER_02
[ 00:06:54.303 -->  00:07:07.818] ER SPEAKER_02
[ 00:07:02.147 -->  00:07:03.319] ES SPEAKER_00
[ 00:07:07.308 -->  00:07:09.533] ET SPEAKER_00
[ 00:07:09.601 -->  00:07:11.010] EU SPEAKER_02
[ 00:07:10.449 -->  00:07:15.000] EV SPEAKER_00
[ 00:07:13.777 -->  00:07:13.998] EW SPEAKER_02
[ 00:07:13.998 -->  00:07:14.915] EX SPEAKER_01
[ 00:07:15.000 -->  00:07:18.938] EY SPEAKER_01
[ 00:07:19.227 -->  00:07:31.740] EZ SPEAKER_01
[ 00:07:25.594 -->  00:07:26.001] FA SPEAKER_00
[ 00:07:26.001 -->  00:07:26.561] FB SPEAKER_04
[ 00:07:26.561 -->  00:07:26.595] FC SPEAKER_00
[ 00:07:32.011 -->  00:07:35.084] FD SPEAKER_01
[ 00:07:34.354 -->  00:07:39.431] FE SPEAKER_04
[ 00:07:35.984 -->  00:07:36.952] FF SPEAKER_01
[ 00:07:39.974 -->  00:07:46.205] FG SPEAKER_01
[ 00:07:45.186 -->  00:07:46.935] FH SPEAKER_04
[ 00:07:46.324 -->  00:07:53.319] FI SPEAKER_01
[ 00:07:52.724 -->  00:07:57.835] FJ SPEAKER_04
[ 00:07:57.835 -->  00:08:10.263] FK SPEAKER_03
[ 00:08:10.297 -->  00:08:14.626] FL SPEAKER_01
[ 00:08:14.966 -->  00:08:14.983] FM SPEAKER_01
[ 00:08:14.983 -->  00:08:16.799] FN SPEAKER_03
